# Christmas-specific items which can be created through combination.
# Seal-clubber items are also included in this list.

present	1	0	box	wrapping paper
bow staff	4	0	big stick	bow
bowlegged pants	4	0	basic meat pants	bow
bowler	4	0	basic meat helmet	bow


# Quest items which are created by combination and their subparts.

abridged dictionary	1	0	bridge	dictionary
bone rattle	1	0	skeleton bone	broken skull
cog and sprocket assembly	1	0	cog	sprocket assembly
dope wheels	1	0	tires	sweet rims
full meat tank	1	0	empty meat tank	meat stack
heart of rock and roll	1	0	big rock	hot buttered roll
heavy metal sonata	1	0	chrome ore	drab sonata
heavy metal thunderrr guitarrr	1	0	acoustic guitarrr	chrome ore
heavy hot sauce	1	0	big rock	jaba&ntilde;ero pepper
Rock and Roll Legend	1	0	heart of rock and roll	stolen accordion
really really sticky spider web	1	0	really sticky spider web	really sticky spider web
really sticky spider web	1	0	spider web	spider web
skeleton key	1	0	skeleton bone	loose teeth
stone banjo	1	0	big rock	banjo strings
T-bone key	1	0	rusty L-shaped piece of metal	crusty L-shaped piece of metal
tambourine	1	0	Gnollish pie tin	tambourine bells


# Items involved with the campground, or subcomponents involved in the
# creation of campground items.

barskin tent	1	0	bar skin	wooden stakes
beanbag chair	1	0	beans	filthy knitted dread sack
cottage	1	0	anticheese	bowl of cottage cheese
evil golden arches	1	0	evil golden arch	evil golden arch
lifeless meat doll	1	0	meat face	wooden figurine
maid head	1	0	brainy skull	maiden wig
meat engine	1	0	full meat tank	cog and sprocket assembly
meat face	1	0	fairy gravy	dried face
meat golem	1	0	lifeless meat doll	magicalness-in-a-can
Meat maid	1	0	maid head	Meat maid body
Meat maid body	1	0	frilly skirt	meat engine
pretty bouquet	1	0	pretty flower	pretty flower
spooky scarecrow	1	0	wooden stakes	spooky staff


# Weapons and accessories that can be created by non-seal clubbers by
# combining items.

5-Alarm Saucepan	1	0	heavy hot sauce	saucepan
asshat	1	0	bum cheek	bum cheek
Bjorn's Hammer	1	0	seal-clubbing club	seal-toothed rock
charrrm bracelet	1	0	hemp bracelet	charrrm
detective skull	1	0	gnoll lips	brainy skull
Disco Banjo	1	0	disco ball	stone banjo
enchanted eyepatch	1	0	eyepatch	lihc eye
gnatwing earring	1	0	gnatwing	piercing post
gnoll-tooth necklace	1	0	gnoll teeth	necklace chain
Gnollish autoplunger	1	0	Gnollish plunger	meat engine
icy-hot katana	1	0	icy katana hilt	hot katana blade
meat cowboy hat	1	0	basic meat helmet	whitesnake skin
phat turquoise bracelet	1	0	hemp bracelet	phat turquoise bead
pimpin' meat hat	1	0	basic meat helmet	bling-bling
spooky staff	1	0	spooky shrunken head	spooky stick
Talisman o' Nam	1	0	snakehead charrrm	snakehead charrrm
Turtleslinger	1	0	slingshot	turtle factory


# Familiar items and their subcomponents which do not serve any other
# recalled purpose.

balloon helmet	1	0	long skinny balloon	long skinny balloon
