0	shore.php	1	Muscle Vacation
0	shore.php	2	Mysticality Vacation
0	shore.php	3	Moxie Vacation

1	campground.php	rest	To the Bed!
1	campground.php	relax	To the Beanbag!

2	clangym.php	1	Hobo-Flex Workout Machine
2	clangym.php	2	Big Book of Magicalness
2	clangym.php	3	Tan-U-Lots Tanning Bed

3	luckysewer.php	0	Market Sewer (Lucky)
3	sewer.php	0	Market Sewer (Unlucky)

4	casino.php	1	Goat Party
4	casino.php	2	Pirate Treasure
4	casino.php	11	Fruit Insanity

4	adventure.php	70	Roulette Tables
4	adventure.php	71	Poker Room
4	adventure.php	72	Money-Making Game

3	adventure.php	9	Sleazy Back Alley
3	adventure.php	10	Haunted Pantry

3	adventure.php	16	Haiku Dungeon
3	adventure.php	19	Limerick Dungeon
3	adventure.php	39	Dungeons of Doom
3	dungeon.php	1	Daily Dungeon

5	adventure.php	18	Degrassi Knoll
5	adventure.php	20	Fun House
5	adventure.php	21	Cemetary (Pre-Cyrpt)
5	adventure.php	22	Fernswarthy's Tower
5	adventure.php	58	Cemetary (Post-Cyrpt)
5	adventure.php	78	Palindome

6	adventure.php	11	Outskirts of The Knob
6	adventure.php	40	Knob Goblin Kitchens
6	adventure.php	41	Knob Goblin Treasury
6	adventure.php	42	Knob Goblin Harem
6	adventure.php	50	Knob Goblin Laboratory
6	adventure.php	51	Menagerie (Level 1)
6	adventure.php	52	Menagerie (Level 2)
6	adventure.php	53	Menagerie (Level 3)

7	adventure.php	30	Bat Hole Entryway
7	adventure.php	31	Bat Hole: Guano Junction
7	adventure.php	32	Batrat and Ratbat Burrow
7	adventure.php	33	Beanbat Chamber

8	adventure.php	54	Defiled Nook
8	adventure.php	55	Defiled Cranny
8	adventure.php	56	Defiled Alcove
8	adventure.php	57	Defiled Niche

9	adventure.php	15	Spooky Forest
9	adventure.php	17	Hidden Temple
9	adventure.php	24	Typical Tavern (Pre-Rat)
9	adventure.php	25	Typical Tavern (Post-Rat)
9	adventure.php	73	Inexplicable Door
9	adventure.php	28	Whitey's Grove

10	adventure.php	75	Dark Neck of the Woods
10	adventure.php	76	Dark Heart of the Woods
10	adventure.php	77	Dark Elbow of the Woods
10	adventure.php	79	Deep Fat Friar's Gate

11	adventure.php	35	Barrel Full of Barrels
11	adventure.php	60	Goatlet
11	adventure.php	61	Itznotyerzitz Mine
11	adventure.php	80	Valley Beyond Orc Chasm

12	adventure.php	62	Ninja Snowmen
12	adventure.php	63	eXtreme Slope
12	adventure.php	64	Icy Peak

13	adventure.php	26	Hippy Camp
13	adventure.php	65	Hippy Camp (In Disguise)
13	adventure.php	27	Frat House
13	adventure.php	29	Frat House (In Disguise)
13	adventure.php	66	Pirate Cove
13	adventure.php	67	Pirate Cove (In Disguise)

14	adventure.php	81	Penultimate Fantasy Airship
14	adventure.php	82	Castle in the Clouds in the Sky
14	adventure.php	83	Hole in the Sky

15	adventure.php	45	South of the Border

16	lair3.php	hedge	Sorceress' Hedge Maze

17	adventure.php	43	Outskirts of Camp
17	adventure.php	44	Camp Logging Camp
17	adventure.php	46	Thugnderdome
17	adventure.php	47	Bugbear Pens
17	adventure.php	48	Spooky Gravy Barrow

18	adventure.php	37	Spectral Pickle Factory
