# Kingdom of Loathing Item Database
# Compiled by Max Demian
#
# Latest Item: 1303
# Date: 09/29/2005
#
# Please credit if you use in your own project

1	868780591	seal-clubbing club
2	617818041	seal tooth
3	447433823	helmet turtle
4	164978098	scroll of turtle summoning
5	249844320	pasta spoon
6	882973843	ravioli hat
7	323344201	saucepan
8	266103456	spices
9	449052630	disco mask
10	371973562	disco ball
11	199623005	stolen accordion
12	359318823	mariachi pants
13
14	333987088	moxie weed
15	465583799	strongness elixir
16	204936339	magicalness-in-a-can
17	920838455	spicy noodles
18	346365116	tortoise's blessing
19	889193761	asparagus knife
20	644460624	Kentucky-style derby
21	196360308	sweet ninja sword
22	683777017	studded leather boxer shorts
23	700733976	chewing gum on a string
24	370834526	ten-leaf clover
25	207182772	meat paste
26	539682799	Dolphin King's map
27	968009158	spider web
28	672183606	really sticky spider web
29	405531390	really really sticky spider web
30	962885446	big rock
31	113381266	seal-toothed rock
32	591526612	Bjorn's Hammer
33	135595861	snorkel
34	402032200	Dolphin King's crown
35	422743115	Knob Goblin scimitar
36	374006984	Knob Goblin tongs
37	444904405	viking helmet
38	645141763	Knob Goblin pants
39	436457816	pretty flower
40	733986618	casino pass
41	305316771	ice-cold Sir Schlitz
42	467488422	hermit permit
43	134561658	worthless trinket
44	727798834	worthless gewgaw
45	561158049	worthless knick-knack
46	520591514	wooden figurine
47	424947000	hot buttered roll
48	855972490	heart of rock and roll
49	721301736	bowl of cottage cheese
50	275331264	Rock and Roll Legend
51	555557301	Knob Goblin Uberpants
52	546702280	banjo strings
53	232520882	stone banjo
54	244279521	Disco Banjo
55	189906805	jabañero pepper
56	915847243	heavy hot sauce
57	695837819	5-Alarm Saucepan
58	273862210	turtle factory
59	278594504	slingshot
60	256792195	Turtleslinger
61	490489381	fortune cookie
62	499720505	oriole-feather headdress
63	224701221	action figure head
64	329267145	action figure body
65	390564890	Mighty Bjorn Action Figure
66	244181505	golden twig
67	192265650	spaghetti with rock-balls
68	942969095	Pasta of Peril
69	564164501	Newbiesport™ tent
70	757174348	bar skin
71	449563853	wooden stakes
72	435786424	barskin hat
73	643891681	barskin tent
74	525549764	Spooky Temple map
75	462893050	spooky sapling
76	991217692	Spooky-Gro fertilizer
77	943176401	spooky stick
78	547934955	pretty bouquet
79	426478400	bugbear bungguard
80	903885205	fairy gravy
81	819157879	ice-cold Willer
82	970490171	rusty L-shaped piece of metal
83	228339790	crusty L-shaped piece of metal
84	221122907	locked Orcish meat locker
85	343964219	empty Orcish meat locker
86	518345878	T-bone key
87	653772183	meat from yesterday
88	814092432	meat stack
89	579389111	sword hilt
90	765274533	helmet recipe
91	354259446	pants kit
92	111365331	meatsmithing guide
93	156350201	basic meat sword
94	606216746	basic meat pants
95	198198975	basic meat helmet
96	389032855	bling-bling
97	790979082	pimpin' meat hat
98	230683176	dried face
99	195455417	meat face
100	466597998	lifeless meat doll
101	961351990	meat golem
102	449394262	spooky shrunken head
103	258271045	spooky staff
104	238593881	spooky scarecrow
105	402063497	bowl of lucky charms
106	926741886	ketchup
107	392712771	catsup
108	908197047	big stick
109	185370953	crossbow string
110	871109805	basic meat staff
111	924348153	basic meat crossbow
112	750234288	meatloaf helmet
113	927483696	dripping meat sword
114	370429104	dripping meat staff
115	650388175	dripping meat crossbow
116	606633733	Bugfinder Blade
117	342452294	Gnollish plunger
118	743748200	spring
119	879299952	sprocket
120	157680394	cog
121	362582736	sprocket assembly
122	524880668	cog and sprocket assembly
123	476380355	Gnollish flyswatter
124	767026505	empty meat tank
125	175722264	full meat tank
126	465274324	meat engine
127	792002723	Gnollish autoplunger
128	752035846	sticky meat pants
129	546223279	Gnollish nunchaku
130	548096889	enchanted eyepatch
131	805801465	frilly skirt
132	185286006	Meat maid body
133	579075005	Certificate of Participation
134	405409225	bitchin' meatcar
135	634800641	sweet rims
136	805641198	tires
137	281577974	dope wheels
138	595204142	ice-cold six-pack
139	597006028	valuable trinket
140	807926826	dingy planks
141	181137676	dingy dinghy
142	293685778	anticheese
143	464852326	cottage
144	376860845	stone of eXtreme power
145	858596394	barbed-wire fence
146	642515521	dinghy plans
147	465841131	eXtreme meat sword
148	885693427	eXtreme meat staff
149	274998600	eXtreme meat crossbow
150	889496681	The Scalp of Gorgolok
151	602920283	Elder Turtle Shell
152	135642556	The Colander of Em-er'il
153	225252938	Ancient Saucehelm
154	674402305	Disco 'Fro Pick
155	156097981	El Sombrero De Lopez
156	382799349	guild application
157	300557156	E-Z Cook Oven™
158	213655637	Gnollish pie tin
