1	The Shadowy Store	ye olde golde frontes	1500
1	The Shadowy Store	bejeweled accordion strap	2000
1	The Shadowy Store	moxie magnet	3000

2	Gouda's Grimoire and Grocery	magical mystery juice	100
2	Gouda's Grimoire and Grocery	delectable catalyst	1000
2	Gouda's Grimoire and Grocery	MSG	1000
2	Gouda's Grimoire and Grocery	ladle of mystery	3000
2	Gouda's Grimoire and Grocery	kickback cookbook	4000
2	Gouda's Grimoire and Grocery	Codex of Capsaicin Conjuration	4000
2	Gouda's Grimoire and Grocery	Gazpacho's Glacial Grimoire	4000
2	Gouda's Grimoire and Grocery	special sauce glove	5000

3	The Smacketeria	Medicinal Herb's medicinal herbs	100
3	The Smacketeria	cheap wind-up clock	200
3	The Smacketeria	blood of the Wereseal	500
3	The Smacketeria	enchanted brass knuckles	1000

b	The Bugbear Bakery	Gnollish pie tin	30
b	The Bugbear Bakery	wad of dough	50
b	The Bugbear Bakery	taco shell	80
b	The Bugbear Bakery	skewer	80
b	The Bugbear Bakery	Gnollish casserole dish	150
b	The Bugbear Bakery	rolling pin	500
b	The Bugbear Bakery	unrolling pin	500

galaktik.php	Doc Galaktik's Medicine Show	Doc Galaktik's Pungent Unguent	30
galaktik.php	Doc Galaktik's Medicine Show	Doc Galaktik's Ailment Ointment	60
galaktik.php	Doc Galaktik's Medicine Show	Doc Galaktik's Restorative Balm	120
galaktik.php	Doc Galaktik's Medicine Show	Doc Galaktik's Homeopathic Elixir	240

h	The Hippy Produce Stand	herbs	64
h	The Hippy Produce Stand	orange	70
h	The Hippy Produce Stand	grapefruit	70
h	The Hippy Produce Stand	grapes	70
h	The Hippy Produce Stand	olive	70
h	The Hippy Produce Stand	tomato	70
h	The Hippy Produce Stand	strawberry	70
h	The Hippy Produce Stand	lemon	70

m	The Market Demon	can of hair spray	24
m	The Market Demon	chewing gum on a string	30
m	The Market Demon	Newbiesport&trade; tent	40
m	The Market Demon	anti-anti-antidote	40
m	The Market Demon	fortune cookie	40
m	The Market Demon	spray paint	50
m	The Market Demon	beer cartilage	50
m	The Market Demon	fermenting powder	70
m	The Market Demon	soda water	70
m	The Market Demon	casino pass	100
m	The Market Demon	hermit permit	100
m	The Market Demon	magicalness-in-a-can	200
m	The Market Demon	strongness elixir	200
m	The Market Demon	moxie weed	200
