1	Light!
2	Sleepy
3	Confused
4	Embarrassed
5	Far Out
6	Wings
7	Beaten Up
8	Poisoned
9	Knob Goblin Perfume
10	Steroid Boost
11	Knob Goblin Lust Frenzy
12	Sharp Weapon
13
14	Hennaliciousness
15	Bloody Hand
16	Leash of Linguini
17	Sugar Rush
18	Ghostly Shell
19	Reptilian Fortitude
20	Uncertain
21	Seal Clubbing Frenzy
22	Patience of the Tortoise
23	Pasta Oneness
24	Saucemastery
25	Disco State of Mind
26	Mariachi Mood
27	Temporary Lycanthropy
28	Butt-Rock Hair
29	Contemptible Emanations
30	Incredibly Hulking
31	Superhuman Sarcasm
32	Tomato Power
33	Phorcefullness
34	Pronounced Potency
35	Concentration
36	Mystically Oiled
37	Expert Oiliness
38	Gr8tness
39	Hernia!
40	Red Neck
41	Chapped Legs
42	Sunburned
43	Wussiness
44	Draggin' Balls
45	1337p4n7Z
46	Spiky Hair
47	Complete Delusion
48	The Smile of Mr. A.
49	Macho Profundo
50	Empathy
51	Tenacity of the Snapper
52	Astral Shell
53	Elemental Saucesphere
54	Jalape&ntilde;o Saucesphere
55	Jaba&ntilde;ero Saucesphere
56	Extreme Muscle Relaxation
57	Rainy Soul Miasma
58	Teleportitis
59	Wanged
60	Aloysius' Antiphon of Aptitude
61	The Moxious Madrigal
62	Cletus's Canticle of Celerity
63	Polka of Plenty
64	The Magical Mojomuscular Melody
65	Power Ballad of the Arrowsmith
66	Brawnee's Anthem of Absorption
67	Fat Leon's Phat Loot Lyric
68	Psalm of Pointiness
69	Jackasses' Symphony of Destruction
70	Stevedave's Shanty of Superiority
71	Ode to Booze
72	Sleeping with the Fishes
73	Ticking Clock
74	Fresh Scent
75	Hippy Stench
76	Wreathed in Merriment
77	Fury of the Bells
78	Yuletide Sappiness
79
80	Missing Fingers
81	Gnawed-Off Arm
82	Broken Knees
83	And Your Family, Too
84
85
86	Missing Eyebrows
87	Two Left Feet
88
89	Tingly Wrists
90	Tingly Elbows
91	Tingly Biceps
92	Sticky Hands
93	Clean-Shaven
94	Aspect of the GravyPlum Fairy
95	Rushin' Hands
96	Reedy Pipes
97	Oriental Mysticism
98	Arabian Knighthood
99
100	Stabilizing Oiliness
101	Slippery Oiliness
102	Strength of Ten Ettins
103	Strange Mental Acuity
104	Izchak's Blessing
105	Corroded Weapon
106	Canadianity
107	Enraged
108	Ancestral Disapproval
109	Whitened Teeth
110	Hopped Up on Goofballs
111	Goofball Withdrawal
112	Antsy in your Pantsy
113	Popping Stomach
114	Dwarven Hardiness
115	Apathy
116	Radio Head
117	Free Bird
118	Shiny Happy Weapon
119	On the Shoulders of Giants
120	Shot in the Arse
121	Cock of the Walk
122	Eggs-tra Sensory Perception
123	Egg-stortionary Tactics
124	Egg-stra Arm
125	Egg-headedness
126	Egg-cellent Vocabulary
127	Gothy
128	Flower Power
129	Eye of the Lihc
130	Springy Fusilli
131	Rage of the Reindeer
132	Engorged Weapon
133	Mysteriously Handsome
134	Tamarind Torment
135	Spicy Limeness
136	Mystic Pickleness
137	Spicy Mouth
138	Hombre Muerto Caminando
139	Purple Tongue
140	Green Tongue
141	Orange Tongue
142	Red Tongue
143	Blue Tongue
144	Black Tongue
145	Object Detection
146
147
148
149
150	Twinklebritches
151	Flame-Retardant Trousers
152	Insulated Trousers
153	Spookypants
154	Smellypants
155	Sleaze-Resistant Trousers
156	Twinkly Weapon
157	Flaming Weapon
158	Frigid Weapon
159	Spooky Weapon
160	Stinky Weapon
161	Sleazy Weapon
162	The Sonata of Sneakiness
163	Carlweather's Cantata of Confrontation
164	Ur-Kel's Aria of Annoyance
165	Smooth Movements
166	Musk of the Moose
167	Spirit of Cayenne
168	Spirit of Peppermint
169	Spirit of Garlic
170	Spirit of Wormwood
171	Spirit of Bacon Grease
172	Yellow Tongue
173	Big Veiny Brain
174	Peeled Eyeballs
175	Wasabi Sinuses
176	Heavy Petting
177
178
179
180	Temporary Blindness
181	Jazz Hands
182
183	Half-Astral
184	Cupcake of Choice
185	Shiny Happy Cupcake
186	Tiny Bubbles in the Cupcake
187	Your Cupcake Senses Are Tingling
188	The Cupcake of Wrath
189	Hotform
190	Coldform
191	Spookyform
192	Stenchform
193	Sleazeform
194	Hot Breath
195	Cold Breath
196	Spooky Breath
197	Stinky Breath
198	Sleazy Breath
199	Aspect of the Twinklefairy
200	Hot Blooded
201	Cold Blooded
202	Spooky Demeanor
203	Stenchtastic
204	Supafly
205	Provocative Perkiness
206	Ermine Eyes
207	Eau D'enmity
208	Ocelot Eyes
209	Ponderous Potency
210	Concentrated Concentration
211	Got Milk
212	Papowerful
213	Frog In Your Throat
214	Salamander In Your Stomach
216
217	Cursed by the RNG
218	Amorous
219
220	Sticky Fingers
