1
# Bot	Player ID	XML File URL

Testudinata	537858	http://www.rawbw.com/~ssjlee/kol/testudinata.xml
Noblesse Oblige	594822	http://www.noblesse-oblige.org/bot/noblesse_oblige.xml
#IocaineBot	792443	http://www.iocainepowder.org/iocainebot/iocainebot.xml
#Niten	353078	http://www.jick-nerfed.us/NitraMo/Buffbot/Niten.xml
#The Professor	725798	http://www.jick-nerfed.us/Barkeep/theprofessor.xml
#kolabuff	1061817	http://www.koladdict.com/buffbot/kolabuff.xml
#Lucky 888	1235543	http://darkshadows.dune.net/lucky_888.xml
#zonkttc	333480	http://www.warpedpenguin.org/zonkttc.xml
#NotBot	896474	http://www.knauer.org/mike/kol/notbot.xml
#Tinkerballa	1998582	http://nomads.beckencs.com/tinkerballa.xml
SevenLances_com	950139	http://www.sevenlances.net/sevenlances_com.xml
